dataHora,descricaoSituacao,descricaoTramitacao,despacho,id_prop,idSituacao,idTipoTramitacao,regime,sequencia,siglaOrgao,uriOrgao,url
2016-06-21T00:00,NA,Recebimento,"Recebido o Ofício nº 762/2016, do Senado Federal, que submete à revisão da Câmara dos Deputados,nos termos do art. 65 da Constituição Federal, o Projeto de Lei do Senado nº 229 - Complementar, de 2009, de autoria do Senador lasso Jereissati, constante dos autógrafos em anexo, que 'Estabelece, com amparo nos arts. 163 e 165, § 9º, da Constituição Federal, normas gerais sobre planejamento, orçamento, fundos, contabilidade, controle e avaliação na administração pública; altera a Lei Complementar nº 101, de 4 de maio de 2000; e revoga a Lei nº 4.320, de 17 de março de 1964"".
",2088990,NA,500,"Prioridade (Art. 151, II, RICD)",1,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1470027
2016-06-21T16:37,NA,Notificação de Encaminhamento Fora de Fluxo,Realizar o Encaminhamento para SECAP(SGM),2088990,NA,910,"Prioridade (Art. 151, II, RICD)",3,SEPRO,https://dadosabertos.camara.leg.br/api/v2/orgaos/100229,NA
2016-06-21T16:37,NA,Apresentação de Proposição,"Apresentação do Projeto de Lei Complementar n. 295/2016, pelo Senado Federal, que: ""Estabelece, com amparo nos arts. 163 e 165,      § 9º, da Constituição Federal, normas gerais sobre planejamento, orçamento, fundos, contabilidade, controle e avaliação na administração pública; altera a Lei Complementar nº 101, de 4 de maio de 2000; e revoga a Lei nº 4.320, de 17 de março de 1964"".",2088990,NA,100,"Prioridade (Art. 151, II, RICD)",2,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1470007
2016-06-21T16:38,NA,Notificação (CeDi) - Legislação Citada,Encaminhado  à CEDI (Legislação Citada),2088990,NA,1004,"Prioridade (Art. 151, II, RICD)",4,CEDI,https://dadosabertos.camara.leg.br/api/v2/orgaos/100046,NA
2016-06-21T18:03,NA,Encaminhamento,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 2973/2016.,2088990,NA,180,"Prioridade (Art. 151, II, RICD)",5,SEPRO,https://dadosabertos.camara.leg.br/api/v2/orgaos/100229,NA
2016-06-21T18:11,NA,Recebimento,Recebimento pela SECAP(SGM).,2088990,NA,500,"Prioridade (Art. 151, II, RICD)",6,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,NA
2016-06-22T00:00,NA,Distribuição ,Despacho a Confirmar.,2088990,NA,110,"Prioridade (Art. 151, II, RICD)",7,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1470458
2016-06-23T11:41,NA,Encaminhamento,Despacho Chancelado,2088990,NA,180,"Prioridade (Art. 151, II, RICD)",8,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,NA
2016-06-23T11:41,NA,Notificações,Notificação à Sinopse de Despacho Chancelado,2088990,NA,1005,"Prioridade (Art. 151, II, RICD)",9,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,NA
2016-06-23T11:42,NA,Distribuição ,"Às Comissões de Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade",2088990,NA,110,"Prioridade (Art. 151, II, RICD)",10,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1470458
2016-06-23T11:42,NA,Publicação de Proposição,Encaminhamento de Despacho de Distribuição à CCP para publicação.,2088990,NA,604,"Prioridade (Art. 151, II, RICD)",11,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA
