cargo,id_parlamentar,partido,uf,nome,situacao,sigla,casa,foto
TITULAR,136811,PP,RS,Afonso Hamm,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
SUPLENTE,178835,PDT,RS,Afonso Motta,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
SUPLENTE,160527,PP,PB,Aguinaldo Ribeiro,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
SUPLENTE,204495,PT,PA,Airton Faleiro,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
SUPLENTE,204549,PP,CE,Aj Albuquerque,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
SUPLENTE,160559,MDB,RS,Alceu Moreira,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
SUPLENTE,204413,PATRIOTA,GO,Alcides Rodrigues ,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204413.jpg
SUPLENTE,178833,PSD,RJ,Alexandre Serfiotis,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178833.jpg
TITULAR,204400,PSL,PR,Aline Sleutjes,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204400.jpg
SUPLENTE,178831,PP,AP,André Abdon,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178831.jpg
SUPLENTE,141391,CIDADANIA,SP,Arnaldo Jardim,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
TITULAR,204414,PRB,PR,Aroldo Martins,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204414.jpg
SUPLENTE,109429,PRB,RN,Benes Leocádio,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
TITULAR,141335,PT,PA,Beto Faro,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141335.jpg
SUPLENTE,178948,PP,RN,Beto Rosado,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178948.jpg
SUPLENTE,204561,PSB,MA,Bira do Pindaré,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204561.jpg
SUPLENTE,160538,PT,RS,Bohn Gass,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160538.jpg
TITULAR,74052,PL,SE,Bosco Costa,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74052.jpg
SUPLENTE,178993,DEM,TO,Carlos Henrique Gaguim,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg
SUPLENTE,204426,PT,PE,Carlos Veras,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204426.jpg
SUPLENTE,204369,PSL,SC,Caroline de Toni,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
SUPLENTE,204370,PT,TO,Célio Moura,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204370.jpg
SUPLENTE,141405,MDB,SC,Celso Maldaner,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141405.jpg
SUPLENTE,205476,PSD,BA,Charles Fernandes,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/205476.jpg
SUPLENTE,204440,PP,RJ,Christino Aureo,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204440.jpg
SUPLENTE,141408,PRB,MA,Cleber Verde,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg
TITULAR,135054,PL,PA,Cristiano Vale,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/135054.jpg
TITULAR,141411,PDT,MS,Dagoberto Nogueira,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg
SUPLENTE,204367,PSL,SC,Daniel Freitas,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg
SUPLENTE,116379,PSD,SC,Darci de Matos,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/116379.jpg
SUPLENTE,160588,PSD,MG,Diego Andrade,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160588.jpg
SUPLENTE,178929,PODE,PR,Diego Garcia,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178929.jpg
TITULAR,160599,PP,MG,Dimas Fabiano,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160599.jpg
TITULAR,143632,PSD,CE,Domingos Neto,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg
TITULAR,160758,PSDB,MG,Domingos Sávio,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160758.jpg
SUPLENTE,204351,PSL,MS,Dr. Luiz Ovando,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204351.jpg
TITULAR,204434,SOLIDARI,AC,Dra. Vanda Milani,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204434.jpg
TITULAR,161550,PSB,MG,Emidinho Madeira,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/161550.jpg
SUPLENTE,204537,PV,SP,Enrico Misasi,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204537.jpg
TITULAR,204482,PSC,MG,Euclydes Pettersen,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204482.jpg
TITULAR,178871,PP,ES,Evair Vieira de Melo,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178871.jpg
TITULAR,178930,PSD,PR,Evandro Roman,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178930.jpg
SUPLENTE,178953,PSD,RO,Expedito Netto,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg
PRESIDENTE,66828,PP,SP,Fausto Pinato,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/66828.jpg
TITULAR,204510,PP,MG,Franco Cartafina,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204510.jpg
TITULAR,204393,PT,PB,Frei Anastacio Ribeiro,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204393.jpg
SUPLENTE,204473,PSL,RN,General Girão,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204473.jpg
SUPLENTE,204527,DEM,SP,Geninho Zuliani,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg
SUPLENTE,74383,PL,PR,Giacobo,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg
TITULAR,178964,PSB,RS,Heitor Schuch,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178964.jpg
TITULAR,204436,MDB,AL,Isnaldo Bulhões Jr.,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204436.jpg
TITULAR,160570,PP,RS,Jerônimo Goergen,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160570.jpg
SUPLENTE,204435,PDT,AC,Jesus Sérgio,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204435.jpg
TITULAR,178970,PT,SE,João Daniel,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg
TERCEIRO VICE-PRESIDENTE,204386,DEM,GO,Jose Mario Schreiner,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204386.jpg
TITULAR,204474,MDB,MT,Juarez Costa,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
SUPLENTE,74317,PSD,PI,Júlio Cesar,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74317.jpg
TITULAR,204574,PL,MA,Junior Lourenço,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204574.jpg
SUPLENTE,204550,PL,CE,Júnior Mano,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204550.jpg
SUPLENTE,204404,PSDB,RS,Lucas Redecker,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204404.jpg
SUPLENTE,178931,PSB,PR,Luciano Ducci,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178931.jpg
TITULAR,178954,MDB,RO,Lucio Mosquini,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178954.jpg
TITULAR,160645,PSDB,AP,Luiz Carlos,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160645.jpg
SEGUNDO VICE-PRESIDENTE,162332,PL,PR,Luiz Nishimori,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/162332.jpg
SUPLENTE,166402,PL,GO,Magda Mofatto,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/166402.jpg
TITULAR,204471,PSDB,AC,Mara Rocha,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204471.jpg
TITULAR,133810,PTB,RS,Marcelo Moraes,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/133810.jpg
TITULAR,160535,PT,RS,Marcon,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160535.jpg
TITULAR,204403,PDT,RS,Marlon Santos,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204403.jpg
SUPLENTE,204566,PATRIOTA,MA,Marreca Filho,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204566.jpg
TITULAR,204449,PSL,MT,Nelson Barbudo,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204449.jpg
PRIMEIRO VICE-PRESIDENTE,146307,PP,MT,Neri Geller,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/146307.jpg
TITULAR,194260,PTB,AL,Nivaldo Albuquerque,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/194260.jpg
SUPLENTE,204475,SOLIDARI,RR,Otaci Nascimento,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204475.jpg
TITULAR,204570,PL,MA,Pastor Gildenemyr,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204570.jpg
SUPLENTE,204538,PTB,PA,Paulo Bengtson,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204538.jpg
TITULAR,204395,DEM,PR,Pedro Lupion,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204395.jpg
SUPLENTE,204406,PP,RS,Pedro Westphalen,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204406.jpg
TITULAR,204567,PL,BA,Raimundo Costa,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204567.jpg
TITULAR,204489,PDT,CE,Robério Monteiro,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204489.jpg
TITULAR,74305,PSDB,CE,Roberto Pessoa,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74305.jpg
SUPLENTE,204530,PSB,SP,Rodrigo Agostinho,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204530.jpg
TITULAR,160651,MDB,SC,Rogério Peninha Mendonça,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160651.jpg
SUPLENTE,204357,PSDB,MS,Rose Modesto,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204357.jpg
SUPLENTE,90842,PTB,RS,Santini,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/90842.jpg
TITULAR,204399,PP,PR,Schiavinato,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204399.jpg
SUPLENTE,178933,MDB,PR,Sergio Souza,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178933.jpg
SUPLENTE,204438,PL,AL,Sergio Toledo,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204438.jpg
SUPLENTE,204437,PRB,AL,Severino Pessoa,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204437.jpg
SUPLENTE,204360,PDT,RO,Silvia Cristina,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204360.jpg
TITULAR,197438,AVANTE,BA,Tito,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/197438.jpg
SUPLENTE,178934,PROS,PR,Toninho Wandscheer,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178934.jpg
TITULAR,160610,PT,BA,Valmir Assunção,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160610.jpg
TITULAR,204396,PSD,PR,Vermelho,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204396.jpg
TITULAR,204483,PSB,MG,Vilson da Fetaemg,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204483.jpg
SUPLENTE,204532,NOVO,SP,Vinicius Poit,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204532.jpg
SUPLENTE,178952,MDB,RN,Walter Alves,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178952.jpg
TITULAR,178889,PT,MA,Zé Carlos,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178889.jpg
TITULAR,160632,SOLIDARI,MG,Zé Silva,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160632.jpg
SUPLENTE,204528,NOVO,SP,Adriana Ventura,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
SUPLENTE,74646,PSDB,MG,Aécio Neves,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
TITULAR,178835,PDT,RS,Afonso Motta,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
TITULAR,160527,PP,PB,Aguinaldo Ribeiro,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
TITULAR,160559,MDB,RS,Alceu Moreira,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
TITULAR,204501,PT,SP,Alencar Santana Braga,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
SUPLENTE,178972,CIDADANIA,SP,Alex Manente,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
SUPLENTE,160545,DEM,SP,Alexandre Leite,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg
SUPLENTE,178927,PSB,PR,Aliel Machado,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
SUPLENTE,73696,PP,SC,Angela Amin,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg
SUPLENTE,160541,PP,AL,Arthur Lira,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg
TITULAR,160600,DEM,BA,Arthur Oliveira Maia,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
TITULAR,160512,SOLIDARI,RJ,Aureo Ribeiro,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
TITULAR,178948,PP,RN,Beto Rosado,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178948.jpg
PRIMEIRO VICE-PRESIDENTE,204374,PSL,DF,Bia Kicis,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204374.jpg
TITULAR,141513,DEM,MG,Bilac Pinto,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg
SUPLENTE,204487,PROS,CE,Capitão Wagner,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204487.jpg
TERCEIRO VICE-PRESIDENTE,204369,PSL,SC,Caroline de Toni,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
SUPLENTE,204499,PSB,PA,Cássio Andrade,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204499.jpg
TITULAR,141405,MDB,SC,Celso Maldaner,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141405.jpg
SUPLENTE,204476,AVANTE,RJ,Chiquinho Brazão,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204476.jpg
SUPLENTE,204462,PSL,RJ,Chris Tonietto,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204462.jpg
TITULAR,178939,PROS,RJ,Clarissa Garotinho,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178939.jpg
SUPLENTE,204514,PSL,SP,Coronel Tadeu,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204514.jpg
SUPLENTE,141411,PDT,MS,Dagoberto Nogueira,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg
TITULAR,204367,PSL,SC,Daniel Freitas,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg
TITULAR,160528,PSB,PE,Danilo Cabral,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160528.jpg
TITULAR,116379,PSD,SC,Darci de Matos,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/116379.jpg
SUPLENTE,73891,MDB,RS,Darcísio Perondi,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/73891.jpg
TITULAR,178908,PSD,PA,Delegado Éder Mauro,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178908.jpg
TITULAR,204512,PSL,MG,Delegado Marcelo Freitas,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204512.jpg
SUPLENTE,204569,PSL,AM,Delegado Pablo,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204569.jpg
TITULAR,164359,PSL,GO,Delegado Waldir,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/164359.jpg
TITULAR,178929,PODE,PR,Diego Garcia,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178929.jpg
SUPLENTE,204518,PATRIOTA,MG,Dr. Frederico,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204518.jpg
TITULAR,204562,PSD,MA,Edilázio Júnior,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204562.jpg
SUPLENTE,141417,PL,RR,Edio Lopes,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141417.jpg
TITULAR,204541,PDT,CE,Eduardo Bismarck,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204541.jpg
TITULAR,178977,PSDB,SP,Eduardo Cury,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178977.jpg
TITULAR,204537,PV,SP,Enrico Misasi,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204537.jpg
SUPLENTE,160575,PT,DF,Erika Kokay,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160575.jpg
SUPLENTE,178930,PSD,PR,Evandro Roman,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178930.jpg
TITULAR,178953,PSD,RO,Expedito Netto,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg
SUPLENTE,204368,PSL,SC,Fabio Schiochet,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204368.jpg
TITULAR,160587,PSD,MS,Fábio Trad,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160587.jpg
PRESIDENTE,204398,PSL,PR,Felipe Francischini,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg
SUPLENTE,204354,PL,DF,Flávia Arruda,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204354.jpg
SUPLENTE,204392,PSD,GO,Francisco Jr.,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204392.jpg
TITULAR,160669,SOLIDARI,CE,Genecias Noronha,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160669.jpg
TITULAR,204527,DEM,SP,Geninho Zuliani,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg
SUPLENTE,204394,PSB,PB,Gervásio Maia,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204394.jpg
TITULAR,204575,PDT,MA,Gil Cutrim,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204575.jpg
TITULAR,204365,NOVO,SC,Gilson Marques ,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204365.jpg
SUPLENTE,160673,PL,RS,Giovani Cherini,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160673.jpg
SUPLENTE,204531,PP,SP,Guilherme Derrite,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204531.jpg
SUPLENTE,204442,PSL,RJ,Gurgel,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204442.jpg
TITULAR,178981,MDB,SP,Herculano Passos,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178981.jpg
TITULAR,178959,PP,RR,Hiran Gonçalves,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178959.jpg
SUPLENTE,160674,PRB,PB,Hugo Motta,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160674.jpg
SUPLENTE,204436,MDB,AL,Isnaldo Bulhões Jr.,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204436.jpg
TITULAR,74366,PRB,GO,João Campos,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74366.jpg
TITULAR,204429,PSB,PE,João H. Campos,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204429.jpg
TITULAR,204576,PRB,BA,João Roma,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204576.jpg
TITULAR,204468,REDE,RR,Joenia Wapichana,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204468.jpg
TITULAR,141470,PT,CE,José Guimarães,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141470.jpg
SUPLENTE,204472,PODE,MT,José Medeiros,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204472.jpg
TITULAR,204563,PL,MA,Josimar Maranhãozinho,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204563.jpg
TITULAR,73586,PSB,MG,Júlio Delgado,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/73586.jpg
SUPLENTE,204502,PSL,SP,Júnior Bozzella,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204502.jpg
TITULAR,204550,PL,CE,Júnior Mano,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204550.jpg
SUPLENTE,204536,DEM,SP,Kim Kataguiri,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg
SEGUNDO VICE-PRESIDENTE,98057,PRB,MG,Lafayette de Andrada,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/98057.jpg
TITULAR,204359,PODE,RO,Léo Moraes,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204359.jpg
SUPLENTE,204404,PSDB,RS,Lucas Redecker,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204404.jpg
SUPLENTE,178879,SOLIDARI,GO,Lucas Vergilio,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178879.jpg
TITULAR,160510,AVANTE,MG,Luis Tibé,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg
SUPLENTE,160645,PSDB,AP,Luiz Carlos,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160645.jpg
TITULAR,204543,PSB,SP,Luiz Flávio Gomes,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204543.jpg
SUPLENTE,204526,PSL,SP,Luiz Philippe de Orleans e Bragança,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204526.jpg
TITULAR,204418,PRB,PR,Luizão Goulart,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204418.jpg
TITULAR,146788,PP,MG,Marcelo Aro,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/146788.jpg
SUPLENTE,76874,PSOL,RJ,Marcelo Freixo,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/76874.jpg
TITULAR,204556,PL,AM,Marcelo Ramos ,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204556.jpg
TITULAR,179001,MDB,RS,Márcio Biolchi,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/179001.jpg
TITULAR,204430,PP,PI,Margarete Coelho,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204430.jpg
TITULAR,74398,PT,RS,Maria do Rosário,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74398.jpg
SUPLENTE,75431,PTB,RS,Maurício Dziedricki,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/75431.jpg
SUPLENTE,74749,MDB,MG,Mauro Lopes,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74749.jpg
TITULAR,74571,PT,BA,Nelson Pellegrino,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74571.jpg
SUPLENTE,146307,PP,MT,Neri Geller,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/146307.jpg
TITULAR,204479,PSL,RR,Nicoletti,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204479.jpg
SUPLENTE,74159,PT,MG,Odair Cunha,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74159.jpg
SUPLENTE,204498,DEM,PA,Olival Marques,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204498.jpg
SUPLENTE,178987,PCdoB,SP,Orlando Silva,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg
SUPLENTE,204363,PSC,TO,Osires Damaso,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204363.jpg
TITULAR,160642,PATRIOTA,PE,Pastor Eurico,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160642.jpg
TITULAR,74160,PT,MG,Patrus Ananias,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74160.jpg
TITULAR,141516,PSDB,MG,Paulo Abi-Ackel,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141516.jpg
TITULAR,178860,DEM,BA,Paulo Azi,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178860.jpg
TITULAR,193726,PSC,PR,Paulo Eduardo Martins,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/193726.jpg
SUPLENTE,74574,PSD,BA,Paulo Magalhães,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74574.jpg
