prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
16526,camara,1995-11-30T00:00:00Z,1,Apresentação do Projeto de Lei pelo Senado Federal - Lauro Campos,PLEN,100,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1570103,16526
16526,camara,1995-12-12T00:00:00Z,3,A CTASP E CCJR (ARTIGO 54 DO RI).(DESPACHO INICIAL),MESA,999,NA,NA,16526
16526,camara,1995-12-12T00:00:00Z,2,PUBLICAÇÃO DA MATERIA.DCD 12 01 96 PAG 574 COL 02.,PLEN,105,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=283139,16526
16526,camara,1995-12-13T00:00:00Z,4,ENCAMINHADO A CTASP.,CCP,180,NA,NA,16526
16526,camara,1996-04-15T00:00:00Z,5,"Às Comissões de Constituição e Justiça e de Cidadania (Art. 54 RICD); Finanças e Tributação (Mérito e Art. 54, RICD)  e Trabalho, de Administração e Serviço Público.  (Novo Despacho)",MESA,999,NA,NA,16526
16526,camara,1996-04-15T00:00:00Z,6,PUBLICAÇÃO DA MATERIA.DCD 08 10 96 PAG 25987 COL 01.,PLEN,105,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=280756,16526
16526,camara,1996-04-18T00:00:00Z,7,"DEFERIDO OF 14/96, DA CTASP, SOLICITANDO A APENSAÇÃO DOS PL. 4161/93 E PL. 418/95 A ESTE.DCD 24 01 97 PAG 2437 COL 01.",MESA,129,NA,NA,16526
16526,camara,1996-04-18T00:00:00Z,8,"DEFERIDO OF 37/96, DA CTASP, SOLICITANDO A APENSAÇÃO DOS PL. 750/95 E PL. 662/95, A ESTE.DCD 19 04 96 PAG 10187 COL 01.",MESA,129,NA,NA,16526
16526,camara,1996-04-23T00:00:00Z,9,ENCAMINHADO A CTASP.,CCP,180,NA,NA,16526
16526,camara,1996-05-13T00:00:00Z,10,PRAZO PARA APRESENTAÇÃO DE EMENDAS: 05 SESSÕES.DCD 11 05 96 PAG 13411 COL 02.,CTASP,350,NA,NA,16526
16526,camara,1996-05-13T00:00:00Z,11,RELATOR DEP SANDRO MABEL.DCD 14 05 96 PAG 13560 COL 02.,CTASP,320,NA,NA,16526
16526,camara,1996-05-21T00:00:00Z,12,APRESENTAÇÃO DE EMENDA PELO DEP PAULO PAIM.,CTASP,5,NA,NA,16526
16526,camara,1996-05-27T00:00:00Z,13,Apense-se a este o PL 1901/1996.,MESA,504,NA,NA,16526
16526,camara,1996-06-27T00:00:00Z,14,Apense-se a este o PL 2022/1996 e PL 2023/1996.,MESA,504,NA,NA,16526
16526,camara,1996-07-04T00:00:00Z,15,"OF 68/95, DO DEP SANDRO MABEL, SOLICITANDO A DESAPENSAÇÃO DOS PL. 1365/95 E PL. 1413/96, DESTE.",MESA,5,NA,NA,16526
16526,camara,1996-08-30T00:00:00Z,16,"Apense-se a este os Prijetos de Lei: PL 2233/1996, PL 2234/1996, PL 2235/1996, PL 2236/1996, PL 2237/1996 e PL 2238/1996.",MESA,504,NA,NA,16526
16526,camara,1996-09-09T00:00:00Z,17,"OF 435/96, DA CTASP, SOLICITANDO A APENSAÇÃO DOS PL. 1365/95 E PL. 1413/96, A ESTE.DCD 05 11 96 PAG 28513 COL 02.",MESA,5,NA,NA,16526
16526,camara,1996-11-01T00:00:00Z,18,"DEFERIDO OF 435/96, DA CTASP, SOLICITANDO A APENSAÇÃO DOS PL. 1365/95 E PL. 1413/96, A ESTE.DCD 05 11 96 PAG 28513 COL 02.",MESA,129,NA,NA,16526
16526,camara,1996-11-14T00:00:00Z,19,Apense-se a este o PL 2518/1996 e PL 2519/1996.,MESA,504,NA,NA,16526
16526,camara,1996-12-10T00:00:00Z,20,"APROVAÇÃO DO REQUERIMENTO DOS LIDERES, SOLICITANDO, NOS TERMOS DO ARTIGO 155 DO RI, URGENCIA PARA O PL. 750/95, APENSADO A ESTE.DCD 11 12 96 PAG 32689 COL 02.",PLEN,5,Pronta para Pauta,NA,16526
16526,camara,1996-12-11T00:00:00Z,21,"DISCUSSÃO EM TURNO UNICO.APROVAÇÃO DO REQUERIMENTO DO DEP BENITO GAMA, LIDER DO GOVERNO, SOLICITANDO A RETIRADA DE PAUTA DA ORDEM DO DIA, DESTE PROJETO.DCD 12 12 96 PAG 32999 COL 01.",PLEN,250,Pronta para Pauta,NA,16526
16526,camara,1996-12-11T00:00:00Z,22,"PUBLICAÇÃO, PENDENTE DE PARECERES DAS CTASP, CFT E CCJR.PRONTO PARA A ORDEM DO DIA.  PL. 1292-A/95.DCD 18 12 96 PAG 33433 COL 01.REP: DCD 24 01 97 PAG 2435 COL 02.",PLEN,998,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=283144,16526
16526,camara,1996-12-12T00:00:00Z,23,"DEFERIDO REQUERIMENTO DO DEP BENEDITO DOMINGOS, SOLICITANDO A DESAPENSAÇÃO DOPL. 750/95, DESTE.DCD 13 12 96 PAG 33058 COL 01.",MESA,5,NA,NA,16526
16526,camara,1997-01-20T00:00:00Z,24,Apense-se a este   o PL 2548/1996.,MESA,504,NA,NA,16526
16526,camara,1997-01-22T00:00:00Z,25,Apense-se a este o PL 2605/1996.,MESA,504,NA,NA,16526
16526,camara,1997-03-19T00:00:00Z,26,"OF 18/97, DA CTASP, SOLICITANDO A APENSAÇÃO DOPL. 2637/96, A ESTE.",MESA,5,NA,NA,16526
16526,camara,1997-03-19T00:00:00Z,27,"OF 36/97, DA DEP RITA CAMATA, SOLICITANDO A DESAPENSAÇÃO DOS PL. 1889/96 E PL. 2021/96, DESTE.",MESA,5,NA,NA,16526
16526,camara,1997-04-09T00:00:00Z,28,"INDEFERIDO OF 18/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 2637/96, A ESTE.",MESA,5,NA,NA,16526
16526,camara,1997-04-30T00:00:00Z,29,"DEFERIDO OF 036/97, DA DEP RITA CAMATA, SOLICITANDO A DESAPENSAÇÃO DOS PL. 1889/96 E PL. 2021/96, DESTE.",MESA,5,NA,NA,16526
16526,camara,1997-06-03T00:00:00Z,30,"OF 206/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3040/97, A ESTE.",MESA,5,NA,NA,16526
16526,camara,1997-06-25T00:00:00Z,31,"DEFERIDO OF 206/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3040/97, A ESTE.",MESA,129,NA,NA,16526
16526,camara,1997-07-15T00:00:00Z,32,"DEFERIDO OF 228/97, DA CTASP, SOLITANDO A APENSAÇÃO DO PL. 3117/97, A ESTE.DCD 16 07 97 PAG 19723 COL 01.",MESA,5,NA,NA,16526
16526,camara,1997-07-22T00:00:00Z,33,Apense-se a este o PL 3302/1997.,MESA,504,NA,NA,16526
16526,camara,1997-09-24T00:00:00Z,34,"DEFERIDO OF 353/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3398/97, A ESTE.",MESA,129,NA,NA,16526
16526,camara,1997-09-30T00:00:00Z,35,"REQUERIMENTO DO DEP ISRAEL PINHEIRO, SOLICITANDO A DESAPENSAÇÃO DO PL. 3517/97, DESTE.",MESA,5,NA,NA,16526
16526,camara,1997-10-02T00:00:00Z,36,Apense-se a este o PL 3603/1997.,MESA,504,NA,NA,16526
16526,camara,1997-10-13T00:00:00Z,37,"DEFERIDO REQUERIMENTO DO DEP ISRAEL PINHEIRO, SOLICITANDO A DESAPENSAÇÃO DOPL. 3517/97, DESTE.DCD 14 10 97 PAG 32263 COL 01.",MESA,5,NA,NA,16526
16526,camara,1997-10-22T00:00:00Z,38,"OF 447/97 DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 2637/96, A ESTE.",MESA,5,NA,NA,16526
16526,camara,1997-11-06T00:00:00Z,39,"OF 471/97 DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3735/97 A ESTE.",MESA,5,NA,NA,16526
16526,camara,1997-11-11T00:00:00Z,40,"DEFERIDO OF 471/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3735/97, A ESTE.DCD 12 11 97 PAG 36038 COL 01.",MESA,129,NA,NA,16526
16526,camara,1997-11-11T00:00:00Z,41,"PARECER FAVORAVEL DO RELATOR, DEP SANDRO MABEL A ESTE, COM SUBSTITUTIVO, E AOS APENSADOS.",CTASP,322,NA,NA,16526
16526,camara,1997-11-11T00:00:00Z,42,PRAZO PARA APRESENTAÇÃO DE EMENDAS AO SUBSTITUTIVO: 05 SESSÕES.,CTASP,350,NA,NA,16526
16526,camara,1997-11-25T00:00:00Z,43,APRESENTAÇÃO DE EMENDA AO SUBSTITUTIVO PELO DEP NOEL DE OLIVEIRA.,CTASP,600,NA,NA,16526
16526,camara,1997-11-27T00:00:00Z,44,Apense-se a este o PL 3841/1997.,MESA,504,NA,NA,16526
16526,camara,1997-12-02T00:00:00Z,45,"PARECER FAVORAVEL DO RELATOR, DEP SANDRO MABEL, A ESTE, COM SUBSTITUTIVO E AOS APENSADOS, E PARCIALMENTE FAVORAVEL AOSPL. 3834/97 E PL. 3841/97, APENSADOS, ACATANDO A EMENDA APRESENTADA AO SUBSTITUTIVO, COMSUBEMENDA.",CTASP,322,NA,NA,16526
